,Unnamed: 0_x,ZipCode,HousingUnits,Population_x,Households,Families,MedianAge,MedianHouseholdIncome,MedianHomeValue,Unnamed: 0_y,Unnamed: 0.1,zipcode,walkscore,transitscore,bikescore,ZIP,LAT,LNG,Zipcode,Area,Population_y,Population_ME,Median Age,Household Income,Per Capita Income,Income over $75K*,% of Pop Income $75+,Poverty Count,Poverty Rate,Time to work (don't use),Worked outside home,Drive to work,Public transit to work,Biked to work,Walked to work,Worked at home,Drive to work -%  total pop,Public transit to work -%  total pop,Biked to work -% total pop,Walked to work -% total pop,Worked at home  - % total pop,% Transiting  to work (any form),Drive to work - % commuters,Public transit to work -% commuters,Biked to work - % commuters,Walked to work - % commuters,Pop Under 5 years,Pop 5-9 years,Pop 10-14 years,Pop 15-17 years,Pop 18-19 years,Pop 20 years,Pop 21 years,Pop 22-24 years,Pop 25-29 years,Pop 30-34 years,Pop 35-39 years,Pop 40-44 years,Pop 45-49 years,Pop 50-54 years,Pop 55-59 years,Pop 60-61 years,Pop 62-64 years,Pop 65-66 years,Pop 67-69 years,Pop 70-74 years,Pop 75-79 years,Pop 80-84 years,Pop 85 years plus,Pop 0-9,Pop 10-19,Pop 20-29,Pop 30-39,Pop 40-49,Pop 50-59,Pop 60-69,Pop 70+,household_size
20,20,60622,5760.0,14442.0,4773.0,3179.0,30.3,40703.0,141471.0,49.0,49.0,60622.0,92.0,72.0,88.0,60622.0,41.902172,-87.683337,60622.0,(Chicago),54467.0,1296.0,31.8,79085.0,50176.0,11417.0,0.21,8174.0,0.15,967705.0,6998.0,16436.0,11377.0,1814.0,1921.0,2416.0,0.3,0.21,0.03,0.04,0.04,0.58,0.52,0.36,0.06,0.06,3949.0,2405.0,1839.0,1200.0,702.0,440.0,389.0,2755.0,10055.0,9296.0,6033.0,3868.0,2906.0,2087.0,1727.0,574.0,927.0,601.0,600.0,677.0,498.0,486.0,453.0,0.12,0.07,0.25,0.28,0.12,0.07,0.05,0.04,3.025769956002514
21,21,60623,22797.0,42245.0,20570.0,7151.0,37.1,44857.0,250000.0,48.0,48.0,60623.0,89.0,63.0,68.0,60623.0,41.848897,-87.71766099999998,60623.0,(Chicago),88137.0,2354.0,29.3,30048.0,12244.0,1100.0,0.01,32750.0,0.37,1064470.0,10095.0,20999.0,6477.0,240.0,2058.0,1059.0,0.24,0.07,0.0,0.02,0.01,0.34,0.71,0.22,0.01,0.07,7785.0,7671.0,7768.0,4493.0,2710.0,1363.0,1533.0,4471.0,7016.0,6101.0,6082.0,5372.0,5560.0,4877.0,4441.0,1607.0,2092.0,1157.0,1262.0,1750.0,1261.0,900.0,865.0,0.18,0.17,0.16,0.14,0.12,0.11,0.07,0.05,2.053719008264463
22,22,60624,8549.0,11841.0,7556.0,2045.0,31.9,105947.0,358709.0,47.0,47.0,60624.0,85.0,74.0,78.0,60624.0,41.880504,-87.72444399999998,60624.0,(Chicago),38134.0,1478.0,28.7,22160.0,12287.0,756.0,0.02,17011.0,0.45,359910.0,2469.0,5542.0,3585.0,67.0,299.0,382.0,0.15,0.09,0.0,0.01,0.01,0.25,0.58,0.38,0.01,0.03,3603.0,3166.0,3313.0,1932.0,1332.0,848.0,728.0,1885.0,2885.0,2195.0,2389.0,2311.0,2068.0,2285.0,1810.0,678.0,768.0,635.0,784.0,780.0,725.0,603.0,411.0,0.18,0.17,0.17,0.12,0.11,0.11,0.08,0.07,1.5670989941768132
23,23,60625,30400.0,71244.0,25926.0,17310.0,39.5,36331.0,151314.0,46.0,46.0,60625.0,82.0,65.0,84.0,60625.0,41.973292,-87.700351,60625.0,(Chicago),79157.0,2252.0,34.0,59601.0,31245.0,9045.0,0.11,13101.0,0.17,1506855.0,10163.0,22640.0,14694.0,809.0,2546.0,2104.0,0.29,0.19,0.01,0.03,0.03,0.51,0.56,0.36,0.02,0.06,5934.0,4172.0,3680.0,2152.0,1979.0,933.0,1188.0,3546.0,8467.0,9271.0,7834.0,5693.0,5009.0,4663.0,4013.0,1637.0,2005.0,1125.0,1482.0,1472.0,1132.0,930.0,840.0,0.13,0.1,0.18,0.22,0.14,0.11,0.08,0.06,2.7479750057856975
24,24,60626,22786.0,55806.0,21080.0,13539.0,39.5,65717.0,308222.0,45.0,45.0,60626.0,89.0,76.0,76.0,60626.0,42.010019,-87.66709499999997,60626.0,(Chicago),50090.0,1650.0,33.9,36978.0,25247.0,3758.0,0.08,12032.0,0.24,930215.0,7381.0,11010.0,10982.0,523.0,2028.0,1483.0,0.22,0.22,0.01,0.04,0.03,0.49,0.45,0.45,0.02,0.08,2847.0,2573.0,2414.0,881.0,1945.0,1044.0,1049.0,2720.0,5327.0,5176.0,4618.0,3242.0,3410.0,3041.0,2671.0,844.0,1500.0,650.0,811.0,1267.0,668.0,588.0,804.0,0.11,0.1,0.2,0.2,0.13,0.11,0.08,0.07,2.6473434535104365
25,25,60628,12843.0,28725.0,11955.0,7260.0,45.3,81222.0,356047.0,44.0,44.0,60628.0,83.0,64.0,71.0,60628.0,41.690875,-87.615773,60628.0,(Chicago),68077.0,1969.0,37.9,35654.0,18433.0,2512.0,0.04,21178.0,0.31,882055.0,6249.0,14668.0,5976.0,83.0,458.0,618.0,0.22,0.09,0.0,0.01,0.01,0.31,0.69,0.28,0.0,0.02,3971.0,4688.0,4896.0,2968.0,2259.0,969.0,1130.0,2971.0,4304.0,3578.0,3745.0,4215.0,4155.0,4469.0,4584.0,1462.0,2325.0,1263.0,2053.0,3219.0,2345.0,1464.0,1044.0,0.13,0.15,0.14,0.11,0.12,0.13,0.1,0.12,2.4027603513174403
26,26,60629,27513.0,93354.0,24390.0,19501.0,29.0,44259.0,201735.0,43.0,43.0,60629.0,75.0,54.0,66.0,60629.0,41.775868,-87.711496,60629.0,(Chicago),115104.0,2963.0,30.4,41471.0,15294.0,2554.0,0.02,25752.0,0.22,1549385.0,13669.0,33589.0,7925.0,223.0,1556.0,829.0,0.29,0.07,0.0,0.01,0.01,0.38,0.78,0.18,0.01,0.04,8633.0,10376.0,9847.0,6344.0,3613.0,1821.0,2244.0,5076.0,8787.0,9248.0,8548.0,8280.0,7051.0,6158.0,5475.0,1921.0,2771.0,1259.0,2008.0,2465.0,1227.0,986.0,966.0,0.17,0.17,0.16,0.15,0.13,0.1,0.07,0.05,3.827552275522755
27,27,60630,39390.0,91077.0,36086.0,18229.0,32.6,55890.0,358155.0,42.0,42.0,60630.0,77.0,77.0,81.0,60630.0,41.972071,-87.756569,60630.0,(Chicago),57627.0,1731.0,38.6,67469.0,30239.0,6892.0,0.12,5922.0,0.1,1015025.0,9900.0,21680.0,5786.0,192.0,384.0,808.0,0.38,0.1,0.0,0.01,0.01,0.49,0.77,0.21,0.01,0.01,3673.0,3245.0,3498.0,1949.0,1053.0,491.0,724.0,2252.0,3961.0,4223.0,4905.0,4062.0,4005.0,4466.0,4083.0,1418.0,2039.0,807.0,1432.0,1739.0,1310.0,1162.0,1130.0,0.12,0.11,0.13,0.16,0.14,0.15,0.1,0.09,2.5238873801474258
28,28,60631,850.0,727.0,323.0,100.0,26.9,95387.0,564024.0,41.0,41.0,60631.0,57.0,43.0,57.0,60631.0,41.994855,-87.81300300000002,60631.0,(Chicago),28238.0,926.0,43.3,79458.0,40500.0,5257.0,0.19,1280.0,0.05,433410.0,5964.0,11834.0,1426.0,120.0,340.0,476.0,0.42,0.05,0.0,0.01,0.02,0.49,0.86,0.1,0.01,0.02,1406.0,1662.0,1537.0,937.0,238.0,194.0,203.0,800.0,2147.0,1592.0,1686.0,2418.0,2280.0,1825.0,2028.0,884.0,1062.0,534.0,657.0,969.0,867.0,1062.0,1250.0,0.11,0.1,0.12,0.12,0.17,0.14,0.11,0.15,2.2507739938080493
29,29,60632,24485.0,50393.0,19682.0,10801.0,32.0,26946.0,214528.0,40.0,40.0,60632.0,52.0,59.0,57.0,60632.0,41.810166,-87.713252,60632.0,(Chicago),91668.0,2474.0,30.6,40829.0,15067.0,1947.0,0.02,20597.0,0.22,1278510.0,10837.0,27954.0,7048.0,179.0,1398.0,487.0,0.3,0.08,0.0,0.02,0.01,0.4,0.76,0.19,0.0,0.04,6566.0,7934.0,8166.0,5120.0,3107.0,1506.0,1502.0,4115.0,6925.0,6637.0,7258.0,7062.0,5534.0,5070.0,4068.0,1686.0,1848.0,1266.0,1403.0,1856.0,1154.0,863.0,1022.0,0.16,0.18,0.15,0.15,0.14,0.1,0.07,0.05,2.5603597195406973
