Zipcode,Area,Population,Population_ME,Median Age,Household Income,Per Capita Income,Income over $75K*,% of Pop Income $75+,Poverty Count,Poverty Rate,Time to work (don't use),Worked outside home,Drive to work,Public transit to work,Biked to work,Walked to work,Worked at home,Drive to work -%  total pop,Public transit to work -%  total pop,Biked to work -% total pop,Walked to work -% total pop,Worked at home  - % total pop,% Transiting  to work (any form),Drive to work - % commuters,Public transit to work -% commuters,Biked to work - % commuters,Walked to work - % commuters,Pop Under 5 years,Pop 5-9 years,Pop 10-14 years,Pop 15-17 years,Pop 18-19 years,Pop 20 years,Pop 21 years,Pop 22-24 years,Pop 25-29 years,Pop 30-34 years,Pop 35-39 years,Pop 40-44 years,Pop 45-49 years,Pop 50-54 years,Pop 55-59 years,Pop 60-61 years,Pop 62-64 years,Pop 65-66 years,Pop 67-69 years,Pop 70-74 years,Pop 75-79 years,Pop 80-84 years,Pop 85 years plus,Pop 0-9,Pop 10-19,Pop 20-29,Pop 30-39,Pop 40-49,Pop 50-59,Pop 60-69,Pop 70+
60645,(Chicago),47131.00,1587.00,35.70," $49,132.00 "," $25,740.00 "," 4,498.00 ",0.10,10664.00,0.23,617720.00,6452.00,13336.00,3883.00,368.00,1180.00,744.00,0.28,0.08,0.01,0.03,0.02,0.40,0.71,0.21,0.02,0.06,4065.00,3563.00,3012.00,1942.00,854.00,712.00,395.00,1568.00,3616.00,3324.00,3583.00,3111.00,2683.00,3463.00,2563.00,1457.00,1659.00,826.00,1024.00,1171.00,849.00,806.00,885.00,0.16,0.12,0.13,0.15,0.12,0.13,0.11,0.08
60640,(Chicago),67088.00,1556.00,37.50," $47,390.00 "," $38,673.00 "," 9,746.00 ",0.15,14206.00,0.21,1315450.00,7198.00,14815.00,16751.00,1086.00,1836.00,2833.00,0.22,0.25,0.02,0.03,0.04,0.51,0.43,0.49,0.03,0.05,3090.00,2582.00,1959.00,808.00,506.00,437.00,551.00,3053.00,8763.00,8130.00,6472.00,5045.00,5096.00,4473.00,4235.00,1524.00,2245.00,1054.00,1230.00,1937.00,1308.00,1207.00,1383.00,0.08,0.05,0.19,0.22,0.15,0.13,0.09,0.09
60660,(Chicago),41490.00,1413.00,37.10," $43,794.00 "," $32,641.00 "," 4,641.00 ",0.11,7417.00,0.18,803970.00,4788.00,9515.00,10002.00,441.00,1282.00,1203.00,0.23,0.24,0.01,0.03,0.03,0.51,0.45,0.47,0.02,0.06,1635.00,1310.00,1225.00,850.00,1857.00,698.00,651.00,1874.00,4749.00,4472.00,3076.00,2712.00,2725.00,3111.00,2685.00,956.00,1719.00,963.00,926.00,1395.00,812.00,398.00,691.00,0.07,0.09,0.19,0.18,0.13,0.14,0.11,0.08
60616,(Chicago),52580.00,1735.00,36.20," $42,776.00 "," $29,751.00 "," 5,927.00 ",0.11,12976.00,0.25,707365.00,5078.00,14126.00,6390.00,454.00,2829.00,1015.00,0.27,0.12,0.01,0.05,0.02,0.45,0.59,0.27,0.02,0.12,2526.00,2236.00,2482.00,1579.00,1327.00,677.00,928.00,2817.00,5425.00,5356.00,3688.00,3378.00,3763.00,3058.00,3030.00,1278.00,1580.00,1393.00,1131.00,1383.00,1390.00,1110.00,1045.00,0.09,0.10,0.19,0.17,0.14,0.12,0.10,0.09
60629,(Chicago),115104.00,2963.00,30.40," $41,471.00 "," $15,294.00 "," 2,554.00 ",0.02,25752.00,0.22,1549385.00,13669.00,33589.00,7925.00,223.00,1556.00,829.00,0.29,0.07,0.00,0.01,0.01,0.38,0.78,0.18,0.01,0.04,8633.00,10376.00,9847.00,6344.00,3613.00,1821.00,2244.00,5076.00,8787.00,9248.00,8548.00,8280.00,7051.00,6158.00,5475.00,1921.00,2771.00,1259.00,2008.00,2465.00,1227.00,986.00,966.00,0.17,0.17,0.16,0.15,0.13,0.10,0.07,0.05
60632,(Chicago),91668.00,2474.00,30.60," $40,829.00 "," $15,067.00 "," 1,947.00 ",0.02,20597.00,0.22,1278510.00,10837.00,27954.00,7048.00,179.00,1398.00,487.00,0.30,0.08,0.00,0.02,0.01,0.40,0.76,0.19,0.00,0.04,6566.00,7934.00,8166.00,5120.00,3107.00,1506.00,1502.00,4115.00,6925.00,6637.00,7258.00,7062.00,5534.00,5070.00,4068.00,1686.00,1848.00,1266.00,1403.00,1856.00,1154.00,863.00,1022.00,0.16,0.18,0.15,0.15,0.14,0.10,0.07,0.05
60615,(Chicago),40257.00,1237.00,33.50," $40,587.00 "," $34,264.00 "," 5,237.00 ",0.13,10058.00,0.25,524135.00,2348.00,7858.00,5721.00,667.00,2680.00,1001.00,0.20,0.14,0.02,0.07,0.02,0.42,0.46,0.34,0.04,0.16,2256.00,1810.00,1786.00,1406.00,1124.00,1067.00,985.00,2407.00,4521.00,3667.00,2704.00,2205.00,2192.00,2394.00,2032.00,899.00,1165.00,776.00,1040.00,1328.00,1080.00,753.00,660.00,0.10,0.11,0.22,0.16,0.11,0.11,0.10,0.09
60639,(Chicago),90211.00,2113.00,31.80," $39,913.00 "," $15,711.00 "," 1,919.00 ",0.02,21252.00,0.24,1443100.00,13014.00,29246.00,6988.00,340.00,1297.00,719.00,0.32,0.08,0.00,0.01,0.01,0.42,0.77,0.18,0.01,0.03,7640.00,7912.00,6049.00,3999.00,2760.00,1613.00,1456.00,4511.00,6514.00,7156.00,6831.00,6548.00,5761.00,4837.00,5132.00,1925.00,2252.00,1166.00,1542.00,1977.00,1188.00,724.00,718.00,0.17,0.14,0.16,0.16,0.14,0.11,0.08,0.05
60608,(Chicago),78072.00,1725.00,31.60," $37,574.00 "," $18,539.00 "," 3,659.00 ",0.05,18671.00,0.24,970300.00,6215.00,18368.00,9068.00,1149.00,1762.00,914.00,0.24,0.12,0.01,0.02,0.01,0.39,0.61,0.30,0.04,0.06,4623.00,4588.00,4577.00,2347.00,2291.00,1516.00,1591.00,4941.00,9657.00,7742.00,5922.00,5248.00,4469.00,4375.00,4204.00,1342.00,1866.00,1251.00,1165.00,1751.00,1061.00,707.00,838.00,0.12,0.12,0.23,0.18,0.12,0.11,0.07,0.06
60617,(Chicago),80002.00,2393.00,37.50," $37,254.00 "," $18,085.00 "," 3,066.00 ",0.04,19629.00,0.25,1080490.00,7633.00,20971.00,6388.00,92.00,620.00,707.00,0.26,0.08,0.00,0.01,0.01,0.35,0.75,0.23,0.00,0.02,5055.00,5185.00,6314.00,4039.00,2478.00,891.00,1261.00,3383.00,5256.00,4040.00,4656.00,4945.00,5338.00,5395.00,4964.00,1866.00,2642.00,1681.00,1809.00,3177.00,2355.00,1806.00,1466.00,0.13,0.16,0.13,0.11,0.13,0.13,0.10,0.11
60612,(Chicago),35559.00,1393.00,31.10," $37,137.00 "," $22,057.00 "," 2,568.00 ",0.07,11774.00,0.33,414760.00,2722.00,7205.00,4515.00,487.00,826.00,854.00,0.20,0.13,0.01,0.02,0.02,0.37,0.55,0.35,0.04,0.06,2537.00,2063.00,2423.00,1619.00,1144.00,712.00,732.00,2101.00,3604.00,3516.00,2216.00,2461.00,1686.00,2125.00,1951.00,554.00,884.00,709.00,510.00,698.00,590.00,426.00,298.00,0.13,0.15,0.20,0.16,0.12,0.11,0.07,0.06
